# t qw qx qy qz x y z vx vy vz p q r ax ay az
0 0.916578 0.034924 0.0812511 -0.389953 -0.539923 1.84155 0.911272 -1.4011 -2.31549 -0.00953481 -0.158569 -0.123447 0.976979 1.77238 -4.42839 0.272854 
0.001 0.916776 0.0348667 0.0812078 -0.389501 -0.541325 1.83923 0.911263 -1.40303 -2.31985 -0.00958043 -0.158539 -0.125755 0.977742 1.78207 -4.40101 0.276333 
0.002 0.916974 0.034809 0.0811635 -0.389048 -0.542729 1.83691 0.911253 -1.40493 -2.32419 -0.00962416 -0.158508 -0.12803 0.978492 1.79169 -4.37361 0.279809 
0.003 0.917173 0.034751 0.081118 -0.388595 -0.544135 1.83458 0.911244 -1.4068 -2.32853 -0.00966597 -0.158476 -0.130272 0.979231 1.80125 -4.34619 0.283282 
0.004 0.917371 0.0346925 0.0810715 -0.388142 -0.545543 1.83225 0.911234 -1.40864 -2.33286 -0.00970585 -0.158445 -0.13248 0.979957 1.81075 -4.31877 0.286752 
0.005 0.917569 0.0346336 0.081024 -0.387688 -0.546952 1.82992 0.911224 -1.41045 -2.33718 -0.00974379 -0.158413 -0.134655 0.980672 1.8202 -4.29133 0.290219 
0.006 0.917768 0.0345744 0.0809754 -0.387234 -0.548364 1.82758 0.911214 -1.41222 -2.34148 -0.00977977 -0.158382 -0.136796 0.981374 1.82958 -4.26388 0.293682 
0.007 0.917966 0.0345148 0.0809259 -0.386779 -0.549777 1.82523 0.911205 -1.41397 -2.34578 -0.00981378 -0.15835 -0.138904 0.982063 1.83891 -4.23642 0.297143 
0.008 0.918164 0.0344548 0.0808753 -0.386324 -0.551192 1.82288 0.911195 -1.41569 -2.35007 -0.00984579 -0.158318 -0.140978 0.982741 1.84818 -4.20894 0.300601 
0.009 0.918362 0.0343944 0.0808237 -0.385869 -0.552608 1.82053 0.911185 -1.41737 -2.35434 -0.00987581 -0.158286 -0.143019 0.983406 1.8574 -4.18146 0.304056 
0.01 0.918561 0.0343337 0.0807712 -0.385413 -0.554026 1.81818 0.911175 -1.41903 -2.35861 -0.0099038 -0.158255 -0.145027 0.984059 1.86655 -4.15396 0.307509 
0.011 0.918759 0.0342727 0.0807177 -0.384957 -0.555446 1.81581 0.911165 -1.42065 -2.36286 -0.00992977 -0.158223 -0.147001 0.9847 1.87566 -4.12645 0.310958 
0.012 0.918957 0.0342112 0.0806633 -0.384501 -0.556868 1.81345 0.911155 -1.42224 -2.36711 -0.00995369 -0.158191 -0.148941 0.985328 1.88471 -4.09893 0.314404 
0.013 0.919155 0.0341495 0.080608 -0.384044 -0.558291 1.81108 0.911145 -1.42381 -2.37134 -0.00997555 -0.15816 -0.150848 0.985944 1.8937 -4.0714 0.317847 
0.014 0.919353 0.0340874 0.0805517 -0.383587 -0.559715 1.80871 0.911135 -1.42534 -2.37556 -0.00999533 -0.158129 -0.152722 0.986548 1.90264 -4.04386 0.321287 
0.015 0.919551 0.034025 0.0804946 -0.38313 -0.561141 1.80633 0.911125 -1.42684 -2.37977 -0.010013 -0.158098 -0.154562 0.98714 1.91153 -4.01632 0.324724 
0.016 0.919749 0.0339623 0.0804366 -0.382672 -0.562569 1.80395 0.911115 -1.42831 -2.38397 -0.0100286 -0.158067 -0.156369 0.987719 1.92037 -3.98876 0.328158 
0.017 0.919947 0.0338992 0.0803777 -0.382214 -0.563998 1.80156 0.911105 -1.42975 -2.38816 -0.0100421 -0.158037 -0.158142 0.988286 1.92915 -3.96119 0.331589 
0.018 0.920145 0.0338359 0.080318 -0.381755 -0.565428 1.79917 0.911095 -1.43116 -2.39233 -0.0100535 -0.158007 -0.159882 0.988841 1.93788 -3.93361 0.335017 
0.019 0.920343 0.0337722 0.0802575 -0.381297 -0.56686 1.79678 0.911085 -1.43254 -2.3965 -0.0100627 -0.157977 -0.161588 0.989384 1.94656 -3.90603 0.338442 
0.02 0.920541 0.0337083 0.0801961 -0.380838 -0.568293 1.79438 0.911075 -1.4339 -2.40065 -0.0100697 -0.157948 -0.163261 0.989914 1.95519 -3.87844 0.341863 
0.021 0.920738 0.0336441 0.080134 -0.380378 -0.569728 1.79198 0.911065 -1.43522 -2.40479 -0.0100746 -0.157919 -0.164901 0.990432 1.96378 -3.85084 0.345281 
0.022 0.920936 0.0335795 0.080071 -0.379919 -0.571164 1.78957 0.911055 -1.43651 -2.40892 -0.0100773 -0.157891 -0.166507 0.990937 1.97231 -3.82323 0.348696 
0.023 0.921133 0.0335147 0.0800073 -0.379459 -0.572601 1.78716 0.911045 -1.43777 -2.41304 -0.0100779 -0.157863 -0.168079 0.991431 1.98079 -3.79561 0.352107 
0.024 0.921331 0.0334497 0.0799429 -0.378998 -0.574039 1.78474 0.911035 -1.439 -2.41714 -0.0100762 -0.157835 -0.169619 0.991911 1.98923 -3.76799 0.355514 
0.025 0.921528 0.0333843 0.0798777 -0.378538 -0.575479 1.78232 0.911025 -1.4402 -2.42124 -0.0100723 -0.157809 -0.171124 0.99238 1.99762 -3.74036 0.358918 
0.026 0.921725 0.0333187 0.0798118 -0.378077 -0.57692 1.7799 0.911015 -1.44137 -2.42532 -0.0100661 -0.157782 -0.172596 0.992836 2.00596 -3.71272 0.362319 
0.027 0.921923 0.0332529 0.0797452 -0.377616 -0.578362 1.77747 0.911005 -1.44251 -2.42939 -0.0100578 -0.157757 -0.174035 0.99328 2.01425 -3.68508 0.365715 
0.028 0.92212 0.0331868 0.0796779 -0.377154 -0.579805 1.77504 0.910994 -1.44362 -2.43344 -0.0100471 -0.157732 -0.175441 0.993712 2.0225 -3.65743 0.369108 
0.029 0.922317 0.0331205 0.0796099 -0.376693 -0.581249 1.77261 0.910984 -1.44471 -2.43749 -0.0100343 -0.157707 -0.176812 0.994131 2.0307 -3.62978 0.372496 
0.03 0.922513 0.0330539 0.0795413 -0.376231 -0.582694 1.77017 0.910974 -1.44576 -2.44152 -0.0100191 -0.157683 -0.178151 0.994538 2.03885 -3.60212 0.37588 
0.031 0.92271 0.0329871 0.0794721 -0.375769 -0.58414 1.76772 0.910964 -1.44678 -2.44554 -0.0100017 -0.15766 -0.179456 0.994933 2.04696 -3.57445 0.37926 
0.032 0.922907 0.03292 0.0794022 -0.375306 -0.585588 1.76528 0.910954 -1.44777 -2.44954 -0.00998193 -0.157638 -0.180727 0.995315 2.05503 -3.54679 0.382636 
0.033 0.923103 0.0328528 0.0793317 -0.374843 -0.587036 1.76282 0.910944 -1.44874 -2.45353 -0.00995989 -0.157617 -0.181965 0.995685 2.06305 -3.51911 0.386007 
0.034 0.9233 0.0327853 0.0792606 -0.374381 -0.588485 1.76037 0.910934 -1.44967 -2.45751 -0.00993554 -0.157596 -0.18317 0.996042 2.07102 -3.49143 0.389374 
0.035 0.923496 0.0327177 0.0791889 -0.373917 -0.589935 1.75791 0.910925 -1.45058 -2.46148 -0.00990886 -0.157576 -0.184341 0.996388 2.07896 -3.46375 0.392735 
0.036 0.923692 0.0326498 0.0791167 -0.373454 -0.591386 1.75545 0.910915 -1.45145 -2.46543 -0.00987985 -0.157557 -0.185479 0.99672 2.08685 -3.43607 0.396092 
0.037 0.923888 0.0325817 0.0790439 -0.37299 -0.592838 1.75298 0.910905 -1.4523 -2.46937 -0.0098485 -0.157538 -0.186583 0.997041 2.09469 -3.40838 0.399443 
0.038 0.924084 0.0325135 0.0789706 -0.372526 -0.594291 1.75051 0.910895 -1.45312 -2.4733 -0.00981479 -0.157521 -0.187654 0.997349 2.1025 -3.38068 0.402789 
0.039 0.924279 0.032445 0.0788967 -0.372062 -0.595744 1.74803 0.910885 -1.45391 -2.47721 -0.00977872 -0.157504 -0.188691 0.997644 2.11026 -3.35299 0.40613 
0.04 0.924475 0.0323764 0.0788224 -0.371598 -0.597199 1.74555 0.910875 -1.45467 -2.48111 -0.00974029 -0.157489 -0.189695 0.997928 2.11798 -3.32529 0.409465 
0.041 0.92467 0.0323076 0.0787476 -0.371133 -0.598654 1.74307 0.910866 -1.4554 -2.485 -0.00969948 -0.157474 -0.190665 0.998199 2.12566 -3.29759 0.412794 
0.042 0.924865 0.0322386 0.0786723 -0.370669 -0.60011 1.74058 0.910856 -1.4561 -2.48887 -0.00965628 -0.15746 -0.191602 0.998457 2.1333 -3.26989 0.416117 
0.043 0.92506 0.0321695 0.0785965 -0.370204 -0.601566 1.73809 0.910846 -1.45677 -2.49273 -0.0096107 -0.157447 -0.192505 0.998703 2.14089 -3.24219 0.419433 
0.044 0.925255 0.0321002 0.0785204 -0.369739 -0.603023 1.7356 0.910837 -1.45742 -2.49657 -0.00956271 -0.157435 -0.193375 0.998937 2.14845 -3.21448 0.422743 
0.045 0.92545 0.0320308 0.0784438 -0.369273 -0.604481 1.7331 0.910827 -1.45803 -2.5004 -0.00951233 -0.157424 -0.194212 0.999159 2.15597 -3.18678 0.426047 
0.046 0.925645 0.0319612 0.0783668 -0.368808 -0.605939 1.7306 0.910818 -1.45862 -2.50422 -0.00945953 -0.157415 -0.195014 0.999368 2.16344 -3.15907 0.429343 
0.047 0.925839 0.0318914 0.0782894 -0.368342 -0.607398 1.72809 0.910808 -1.45918 -2.50802 -0.00940431 -0.157406 -0.195784 0.999564 2.17088 -3.13137 0.432633 
0.048 0.926033 0.0318216 0.0782116 -0.367876 -0.608857 1.72558 0.910799 -1.45971 -2.51181 -0.00934667 -0.157398 -0.19652 0.999749 2.17827 -3.10366 0.435914 
0.049 0.926227 0.0317516 0.0781335 -0.36741 -0.610317 1.72307 0.91079 -1.46021 -2.51559 -0.0092866 -0.157391 -0.197223 0.99992 2.18563 -3.07595 0.439189 
0.05 0.926421 0.0316815 0.078055 -0.366944 -0.611778 1.72055 0.91078 -1.46068 -2.51935 -0.00922411 -0.157385 -0.197892 1.00008 2.19295 -3.04825 0.442455 
0.051 0.926614 0.0316112 0.0779762 -0.366478 -0.613239 1.71803 0.910771 -1.46112 -2.52309 -0.00915917 -0.157381 -0.198527 1.00023 2.20022 -3.02054 0.445713 
0.052 0.926808 0.0315409 0.0778971 -0.366011 -0.6147 1.7155 0.910762 -1.46154 -2.52682 -0.00909179 -0.157377 -0.199129 1.00036 2.20746 -2.99284 0.448963 
0.053 0.927001 0.0314704 0.0778177 -0.365545 -0.616162 1.71297 0.910753 -1.46193 -2.53054 -0.00902197 -0.157374 -0.199698 1.00048 2.21467 -2.96513 0.452203 
0.054 0.927194 0.0313998 0.0777381 -0.365078 -0.617624 1.71044 0.910744 -1.46229 -2.53424 -0.0089497 -0.157373 -0.200233 1.00059 2.22183 -2.93743 0.455435 
0.055 0.927387 0.0313292 0.0776581 -0.364611 -0.619086 1.70791 0.910735 -1.46262 -2.53793 -0.00887498 -0.157373 -0.200735 1.00069 2.22895 -2.90973 0.458658 
0.056 0.927579 0.0312584 0.0775779 -0.364144 -0.620549 1.70537 0.910726 -1.46292 -2.5416 -0.00879781 -0.157373 -0.201203 1.00078 2.23604 -2.88203 0.461871 
0.057 0.927772 0.0311876 0.0774975 -0.363677 -0.622012 1.70282 0.910718 -1.46319 -2.54526 -0.00871818 -0.157375 -0.201637 1.00085 2.24309 -2.85434 0.465074 
0.058 0.927964 0.0311167 0.0774169 -0.36321 -0.623476 1.70028 0.910709 -1.46344 -2.5489 -0.0086361 -0.157378 -0.202039 1.00091 2.2501 -2.82665 0.468266 
0.059 0.928156 0.0310456 0.0773361 -0.362742 -0.624939 1.69772 0.9107 -1.46366 -2.55253 -0.00855156 -0.157383 -0.202406 1.00096 2.25708 -2.79896 0.471448 
0.06 0.928348 0.0309746 0.077255 -0.362275 -0.626403 1.69517 0.910692 -1.46385 -2.55614 -0.00846456 -0.157388 -0.20274 1.00099 2.26402 -2.77127 0.47462 
0.061 0.928539 0.0309034 0.0771739 -0.361807 -0.627867 1.69261 0.910683 -1.46401 -2.55973 -0.0083751 -0.157395 -0.203041 1.00102 2.27092 -2.74359 0.47778 
0.062 0.92873 0.0308322 0.0770925 -0.361339 -0.629331 1.69005 0.910675 -1.46415 -2.56332 -0.00828318 -0.157402 -0.203308 1.00103 2.27778 -2.71591 0.480928 
0.063 0.928921 0.0307609 0.0770111 -0.360871 -0.630795 1.68749 0.910667 -1.46426 -2.56688 -0.0081888 -0.157411 -0.203542 1.00102 2.28461 -2.68824 0.484064 
0.064 0.929112 0.0306896 0.0769295 -0.360404 -0.632259 1.68492 0.910659 -1.46434 -2.57043 -0.00809197 -0.157421 -0.203742 1.00101 2.2914 -2.66057 0.487189 
0.065 0.929303 0.0306183 0.0768478 -0.359936 -0.633724 1.68234 0.910651 -1.46439 -2.57397 -0.00799269 -0.157432 -0.203909 1.00098 2.29815 -2.6329 0.4903 
0.066 0.929493 0.0305469 0.076766 -0.359467 -0.635188 1.67977 0.910643 -1.46442 -2.57749 -0.00789095 -0.157445 -0.204042 1.00094 2.30487 -2.60525 0.493398 
0.067 0.929683 0.0304754 0.0766842 -0.358999 -0.636653 1.67719 0.910635 -1.46441 -2.58099 -0.00778676 -0.157458 -0.204141 1.00089 2.31155 -2.57759 0.496483 
0.068 0.929873 0.0304039 0.0766022 -0.358531 -0.638117 1.67461 0.910627 -1.46438 -2.58448 -0.00768012 -0.157473 -0.204208 1.00083 2.3182 -2.54994 0.499555 
0.069 0.930062 0.0303324 0.0765203 -0.358063 -0.639581 1.67202 0.910619 -1.46433 -2.58795 -0.00757104 -0.157489 -0.20424 1.00075 2.3248 -2.5223 0.502611 
0.07 0.930251 0.0302609 0.0764383 -0.357595 -0.641046 1.66943 0.910612 -1.46424 -2.59141 -0.00745952 -0.157506 -0.204239 1.00066 2.33138 -2.49467 0.505654 
0.071 0.93044 0.0301894 0.0763564 -0.357126 -0.64251 1.66684 0.910605 -1.46413 -2.59485 -0.00734557 -0.157524 -0.204205 1.00056 2.33791 -2.46704 0.508681 
0.072 0.930629 0.0301178 0.0762744 -0.356658 -0.643974 1.66424 0.910597 -1.46399 -2.59827 -0.00722919 -0.157543 -0.204137 1.00045 2.34441 -2.43942 0.511693 
0.073 0.930817 0.0300463 0.0761924 -0.356189 -0.645438 1.66164 0.91059 -1.46383 -2.60168 -0.00711039 -0.157564 -0.204036 1.00032 2.35088 -2.4118 0.514689 
0.074 0.931006 0.0299747 0.0761105 -0.355721 -0.646902 1.65904 0.910583 -1.46364 -2.60507 -0.00698917 -0.157585 -0.203901 1.00019 2.3573 -2.3842 0.517668 
0.075 0.931194 0.0299031 0.0760287 -0.355252 -0.648365 1.65643 0.910576 -1.46342 -2.60845 -0.00686554 -0.157608 -0.203732 1.00004 2.3637 -2.3566 0.520631 
0.076 0.931381 0.0298316 0.0759469 -0.354784 -0.649828 1.65382 0.910569 -1.46317 -2.61181 -0.00673951 -0.157632 -0.20353 0.999873 2.37005 -2.32901 0.523576 
0.077 0.931568 0.0297601 0.0758652 -0.354315 -0.651291 1.65121 0.910563 -1.4629 -2.61515 -0.00661108 -0.157657 -0.203294 0.999697 2.37637 -2.30143 0.526504 
0.078 0.931755 0.0296885 0.0757836 -0.353846 -0.652754 1.64859 0.910556 -1.4626 -2.61848 -0.00648027 -0.157683 -0.203025 0.999509 2.38265 -2.27386 0.529413 
0.079 0.931942 0.029617 0.0757022 -0.353378 -0.654217 1.64597 0.91055 -1.46227 -2.62179 -0.00634708 -0.157711 -0.202723 0.999309 2.3889 -2.24629 0.532304 
0.08 0.932129 0.0295456 0.0756209 -0.352909 -0.655679 1.64335 0.910543 -1.46192 -2.62508 -0.00621153 -0.157739 -0.202387 0.999097 2.39511 -2.21874 0.535176 
0.081 0.932315 0.0294741 0.0755397 -0.352441 -0.65714 1.64072 0.910537 -1.46154 -2.62836 -0.00607362 -0.157769 -0.202017 0.998872 2.40129 -2.1912 0.538028 
0.082 0.932501 0.0294027 0.0754587 -0.351972 -0.658602 1.63809 0.910531 -1.46114 -2.63162 -0.00593337 -0.1578 -0.201614 0.998634 2.40743 -2.16366 0.540859 
0.083 0.932686 0.0293314 0.0753779 -0.351503 -0.660063 1.63546 0.910525 -1.4607 -2.63486 -0.00579078 -0.157831 -0.201177 0.998385 2.41353 -2.13614 0.543671 
0.084 0.932871 0.0292601 0.0752972 -0.351035 -0.661523 1.63282 0.91052 -1.46025 -2.63809 -0.00564587 -0.157864 -0.200707 0.998122 2.4196 -2.10863 0.54646 
0.085 0.933056 0.0291888 0.0752168 -0.350566 -0.662983 1.63018 0.910514 -1.45976 -2.6413 -0.00549866 -0.157898 -0.200203 0.997848 2.42563 -2.08113 0.549229 
0.086 0.933241 0.0291176 0.0751367 -0.350098 -0.664443 1.62754 0.910509 -1.45925 -2.64449 -0.00534915 -0.157933 -0.199666 0.997561 2.43162 -2.05364 0.551975 
0.087 0.933425 0.0290465 0.0750568 -0.349629 -0.665902 1.62489 0.910503 -1.45872 -2.64767 -0.00519737 -0.157969 -0.199095 0.997262 2.43758 -2.02616 0.554698 
0.088 0.933609 0.0289754 0.0749771 -0.349161 -0.66736 1.62224 0.910498 -1.45815 -2.65083 -0.00504332 -0.158006 -0.19849 0.99695 2.4435 -1.99869 0.557397 
0.089 0.933793 0.0289044 0.0748977 -0.348692 -0.668818 1.61959 0.910493 -1.45757 -2.65397 -0.00488702 -0.158045 -0.197852 0.996626 2.44938 -1.97124 0.560073 
